Convex table,Source,Current validator,Indexes,Search indexes,firmId field,Target PostgreSQL table,Legacy ID strategy,Decision,Status,Owner,Notes
documentShares,convex/schema.ts:300,"{ firmId: v.optional(v.id(""firms"")), documentId: v.id(""documents""), token: v.string(), passwordHash: v.optional(v.string()), // PBKDF2 encoded value expiresAt: v.optional(v.string()), // ISO string createdBy: v.id(""users""), downloadsCount: v.number(), isActive: v.boolean(), allowDownload: v.optional(v.boolean()), maxDownloads: v.optional(v.number()), failedAttempts: v.optional(v.number()), lockedUntil: v.optional(v.number()), lastAccessAt: v.optional(v.string()), revokedAt: v.optional(v.string()), revokedBy: v.optional(v.id(""users"")), }","""by_document"", [""documentId""] | ""by_token"", [""token""] | ""by_firm"", [""firmId""]",,yes,document_shares,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL
documentTags,convex/schema.ts:294,"{ name: v.string(), color: v.optional(v.string()), // hex code or tailwind class firmId: v.optional(v.id(""firms"")), }","""by_name"", [""name""] | ""by_firm"", [""firmId""] | ""by_firm_name"", [""firmId"", ""name""]",,yes,document_tags,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL
documentTemplates,convex/schema.ts:678,"{ title: v.string(), type: v.union( v.literal(""retainer""), v.literal(""petition""), v.literal(""nda""), v.literal(""general""), ), content: v.string(), }",,,no,document_templates,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL
documentUploadRateLimits,convex/schema.ts:321,"{ firmId: v.optional(v.id(""firms"")), userId: v.id(""users""), windowStartedAt: v.number(), count: v.number(), }","""by_user"", [""userId""] | ""by_firm"", [""firmId""]",,yes,document_upload_rate_limits,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL
expenses,convex/schema.ts:657,"{ firmId: v.optional(v.id(""firms"")), description: v.string(), category: v.union( v.literal(""office_rent""), v.literal(""utilities""), v.literal(""court_fees""), v.literal(""courier""), v.literal(""printing""), v.literal(""travel""), v.literal(""supplies""), v.literal(""software""), v.literal(""other""), ), amount: v.number(), caseId: v.optional(v.id(""cases"")), receiptId: v.optional(v.string()), date: v.string(), submittedBy: v.id(""users""), status: v.union(v.literal(""pending""), v.literal(""approved""), v.literal(""rejected"")), approvedBy: v.optional(v.id(""users"")), invoiceId: v.optional(v.id(""invoices"")), }","""by_status"", [""status""] | ""by_case"", [""caseId""] | ""by_date"", [""date""]",,yes,expenses,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL
firms,convex/schema.ts:6,"{ name: v.string(), slug: v.string(), isActive: v.boolean(), }","""by_slug"", [""slug""]",,no,firms,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Global firm registry
firmSettings,convex/schema.ts:64,"{ firmId: v.optional(v.id(""firms"")), key: v.string(), value: v.any(), }","""by_key"", [""key""] | ""by_firm_key"", [""firmId"", ""key""]",,yes,firm_settings,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL
hearings,convex/schema.ts:171,"{ caseId: v.id(""cases""), court: v.string(), judge: v.optional(v.string()), dateGregorian: v.string(), dateBs: v.string(), time: v.optional(v.string()), purpose: v.optional(v.string()), outcome: v.optional(v.string()), nextDateGregorian: v.optional(v.string()), nextDateBs: v.optional(v.string()), status: v.union( v.literal(""scheduled""), v.literal(""completed""), v.literal(""adjourned""), v.literal(""cancelled""), v.literal(""postponed""), v.literal(""not_reached""), v.literal(""bench_disqualified""), v.literal(""could_not_present""), v.literal(""part_heard""), v.literal(""continuous""), v.literal(""procedural_order""), v.literal(""evidence_exam""), v.literal(""final_judgment""), v.literal(""dismissed""), v.literal(""settled""), v.literal(""archived""), v.literal(""on_hold""), ), notes: v.optional(v.string()), }","""by_case"", [""caseId""] | ""by_date"", [""dateGregorian""]",,no,hearings,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL
invoiceLineItems,convex/schema.ts:491,"{ invoiceId: v.id(""invoices""), description: v.string(), quantity: v.number(), unitPrice: v.number(), amount: v.number(), type: v.union(v.literal(""time""), v.literal(""fixed""), v.literal(""expense"")), }","""by_invoice"", [""invoiceId""]",,no,invoice_line_items,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL
invoices,convex/schema.ts:470,"{ invoiceNumber: v.string(), caseId: v.id(""cases""), clientId: v.id(""clients""), status: v.union( v.literal(""draft""), v.literal(""sent""), v.literal(""paid""), v.literal(""overdue""), v.literal(""cancelled""), ), subtotal: v.number(), vatAmount: v.number(), total: v.number(), issuedDate: v.string(), dueDate: v.string(), paidDate: v.optional(v.string()), notes: v.optional(v.string()), }","""by_case"", [""caseId""] | ""by_client"", [""clientId""] | ""by_status"", [""status""] | ""by_number"", [""invoiceNumber""]",,no,invoices,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL
jobApplications,convex/schema.ts:736,"{ jobId: v.id(""careers""), applicantName: v.string(), email: v.string(), phone: v.string(), resumeUrl: v.optional(v.string()), coverLetter: v.optional(v.string()), status: v.union(v.literal(""new""), v.literal(""reviewed""), v.literal(""interviewed""), v.literal(""rejected""), v.literal(""hired"")), appliedDate: v.string(), }","""by_job"", [""jobId""] | ""by_status"", [""status""]",,no,job_applications,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL
leads,convex/schema.ts:541,"{ firmId: v.optional(v.id(""firms"")), fullName: v.string(), email: v.optional(v.string()), phone: v.optional(v.string()), source: v.union( v.literal(""website""), v.literal(""referral""), v.literal(""walk_in""), v.literal(""phone""), v.literal(""social""), v.literal(""newsletter""), ), practiceAreaInterest: v.optional(v.string()), message: v.optional(v.string()), status: v.union( v.literal(""new""), v.literal(""contacted""), v.literal(""consultation_scheduled""), v.literal(""converted""), v.literal(""lost""), ), assignedTo: v.optional(v.id(""users"")), convertedClientId: v.optional(v.id(""clients"")), notes: v.optional(v.string()), intakeToken: v.optional(v.string()), intakeSubmitted: v.optional(v.boolean()), }","""by_status"", [""status""] | ""by_assigned"", [""assignedTo""] | ""by_intake_token"", [""intakeToken""]",,yes,leads,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL
leaveRequests,convex/schema.ts:578,"{ userId: v.id(""users""), type: v.union( v.literal(""annual""), v.literal(""sick""), v.literal(""maternity""), v.literal(""paternity""), v.literal(""unpaid""), ), fromDate: v.string(), toDate: v.string(), reason: v.optional(v.string()), status: v.union( v.literal(""pending""), v.literal(""approved""), v.literal(""rejected""), ), reviewedBy: v.optional(v.id(""users"")), }","""by_user"", [""userId""] | ""by_status"", [""status""]",,no,leave_requests,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL
legalPages,convex/schema.ts:703,"{ slug: v.union(v.literal(""privacy-policy""), v.literal(""terms"")), title: v.string(), content: v.string(), updatedAt: v.string(), }","""by_slug"", [""slug""]",,no,legal_pages,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL
messages,convex/schema.ts:530,"{ caseId: v.id(""cases""), senderId: v.id(""users""), content: v.string(), attachmentIds: v.array(v.string()), isInternal: v.boolean(), readBy: v.array(v.id(""users"")), }","""by_case"", [""caseId""] | ""by_sender"", [""senderId""]",,no,messages,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL; normalized children: message_attachments | message_reads
navigation,convex/schema.ts:782,"{ label: v.string(), url: v.string(), location: v.union(v.literal(""header""), v.literal(""footer_col_1""), v.literal(""footer_col_2"")), order: v.number(), isActive: v.boolean(), parentId: v.optional(v.id(""navigation"")), openInNewTab: v.optional(v.boolean()), }","""by_location"", [""location""] | ""by_parent"", [""parentId""]",,no,navigation,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL
newsAndAwards,convex/schema.ts:758,"{ title: v.string(), excerpt: v.string(), content: v.string(), date: v.string(), type: v.union(v.literal(""award""), v.literal(""press_release""), v.literal(""firm_news"")), linkUrl: v.optional(v.string()), imageUrl: v.optional(v.string()), }","""by_type"", [""type""] | ""by_date"", [""date""]",,no,news_and_awards,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL
newsletterSubscribers,convex/schema.ts:697,"{ email: v.string(), subscribedAt: v.string(), isActive: v.boolean(), }","""by_email"", [""email""]",,no,newsletter_subscribers,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL
notifications,convex/schema.ts:608,"{ userId: v.id(""users""), title: v.string(), body: v.string(), type: v.union( v.literal(""hearing_reminder""), v.literal(""task_due""), v.literal(""invoice_sent""), v.literal(""payment_received""), v.literal(""document_request""), v.literal(""message""), v.literal(""system""), ), relatedId: v.optional(v.string()), link: v.optional(v.string()), isRead: v.boolean(), }","""by_user"", [""userId""] | ""by_read"", [""isRead""]",,no,notifications,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL
payments,convex/schema.ts:500,"{ invoiceId: v.id(""invoices""), clientId: v.id(""clients""), amount: v.number(), gateway: v.union( v.literal(""esewa""), v.literal(""khalti""), v.literal(""connectips""), v.literal(""bank_transfer""), v.literal(""cash""), ), referenceNumber: v.optional(v.string()), status: v.union( v.literal(""pending""), v.literal(""completed""), v.literal(""failed""), v.literal(""refunded""), ), paidAt: v.optional(v.string()), }","""by_invoice"", [""invoiceId""] | ""by_client"", [""clientId""]",,no,payments,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL
practiceAreas,convex/schema.ts:715,"{ title: v.string(), description: v.string(), icon: v.string(), slug: v.string(), isActive: v.boolean(), }","""by_slug"", [""slug""]",,no,practice_areas,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL
researchNotes,convex/schema.ts:686,"{ title: v.string(), category: v.union( v.literal(""supreme_court""), v.literal(""high_court""), v.literal(""district_court""), v.literal(""commentary""), v.literal(""procedure""), v.literal(""template_research""), ), tags: v.array(v.string()), content: v.string(), authorId: v.id(""users""), }","""by_author"", [""authorId""] | ""by_category"", [""category""]",,no,research_notes,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL; normalized children: research_note_tags
resources,convex/schema.ts:747,"{ title: v.string(), description: v.string(), category: v.string(), coverImageUrl: v.optional(v.string()), fileUrl: v.string(), isGated: v.boolean(), downloads: v.number(), publishedDate: v.string(), }","""by_category"", [""category""]",,no,resources,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL
sessions,convex/schema.ts:639,"{ userId: v.id(""users""), device: v.string(), browser: v.string(), ipAddress: v.string(), lastActive: v.string(), isCurrent: v.boolean(), }","""by_user"", [""userId""]",,no,sessions,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL
signatureEnvelopes,convex/schema.ts:331,"{ firmId: v.optional(v.id(""firms"")), documentId: v.id(""documents""), caseId: v.optional(v.id(""cases"")), title: v.string(), status: v.union( v.literal(""draft""), v.literal(""sent""), v.literal(""completed""), v.literal(""declined""), v.literal(""voided""), v.literal(""expired""), ), routing: v.union(v.literal(""sequential""), v.literal(""parallel"")), createdBy: v.id(""users""), expiresAt: v.optional(v.string()), voidedAt: v.optional(v.string()), voidReason: v.optional(v.string()), completedAt: v.optional(v.string()), lastRemindedAt: v.optional(v.string()), }","""by_document"", [""documentId""] | ""by_status"", [""status""] | ""by_case"", [""caseId""] | ""by_firm"", [""firmId""]",,yes,signature_envelopes,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL
signatureRecipients,convex/schema.ts:357,"{ firmId: v.optional(v.id(""firms"")), envelopeId: v.id(""signatureEnvelopes""), userId: v.id(""users""), order: v.number(), status: v.union( v.literal(""pending""), v.literal(""awaiting_turn""), v.literal(""signed""), v.literal(""declined""), ), declinedAt: v.optional(v.string()), declineReason: v.optional(v.string()), signedAt: v.optional(v.string()), remindedAt: v.optional(v.string()), }","""by_envelope"", [""envelopeId""] | ""by_user"", [""userId""] | ""by_envelope_user"", [""envelopeId"", ""userId""] | ""by_firm"", [""firmId""]",,yes,signature_recipients,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL
signingChallenges,convex/schema.ts:379,"{ firmId: v.optional(v.id(""firms"")), userId: v.id(""users""), documentId: v.id(""documents""), envelopeId: v.optional(v.id(""signatureEnvelopes"")), codeHash: v.string(), expiresAt: v.number(), verifiedAt: v.optional(v.number()), attempts: v.number(), }","""by_user_document"", [""userId"", ""documentId""] | ""by_firm"", [""firmId""]",,yes,signing_challenges,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL
sopTemplates,convex/schema.ts:438,"{ key: v.string(), label: v.string(), taskTitles: v.array(v.string()), defaultPriority: v.union( v.literal(""low""), v.literal(""medium""), v.literal(""high""), v.literal(""urgent""), ), practiceArea: v.optional(v.string()), }","""by_key"", [""key""] | ""by_practice"", [""practiceArea""]",,no,sop_templates,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL; normalized children: sop_template_tasks
taskComments,convex/schema.ts:450,"{ taskId: v.id(""tasks""), authorId: v.id(""users""), content: v.string(), }","""by_task"", [""taskId""]",,no,task_comments,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL
tasks,convex/schema.ts:392,"{ firmId: v.optional(v.id(""firms"")), caseId: v.optional(v.id(""cases"")), title: v.string(), description: v.optional(v.string()), assignedTo: v.id(""users""), createdBy: v.id(""users""), status: v.union( v.literal(""todo""), v.literal(""in_progress""), v.literal(""done""), v.literal(""cancelled""), ), priority: v.union( v.literal(""low""), v.literal(""medium""), v.literal(""high""), v.literal(""urgent""), ), category: v.optional(v.union( v.literal(""filing""), v.literal(""research""), v.literal(""client""), v.literal(""court""), v.literal(""admin""), v.literal(""other""), )), dueDate: v.optional(v.string()), dueDateBs: v.optional(v.string()), isRecurring: v.boolean(), recurrenceRule: v.optional(v.union( v.literal(""daily""), v.literal(""weekly""), v.literal(""monthly""), )), reminderAt: v.optional(v.string()), completedAt: v.optional(v.string()), archivedAt: v.optional(v.string()), parentTaskId: v.optional(v.id(""tasks"")), watchers: v.optional(v.array(v.id(""users""))), clientVisible: v.optional(v.boolean()), hearingId: v.optional(v.id(""hearings"")), documentId: v.optional(v.id(""documents"")), lastDueReminderAt: v.optional(v.string()), }","""by_case"", [""caseId""] | ""by_assignee"", [""assignedTo""] | ""by_status"", [""status""] | ""by_hearing"", [""hearingId""] | ""by_parent"", [""parentTaskId""] | ""by_firm"", [""firmId""]",,yes,tasks,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL; normalized children: task_watchers
templates,convex/schema.ts:161,"{ title: v.string(), description: v.optional(v.string()), category: v.union(v.literal(""vakalatnama""), v.literal(""firad_patra""), v.literal(""jawab""), v.literal(""prastab_patra""), v.literal(""retainer""), v.literal(""poa""), v.literal(""contract""), v.literal(""other"")), htmlContent: v.string(), variables: v.array(v.string()), // e.g. [""client.name"", ""case.number""] firmId: v.optional(v.id(""firms"")), // null means system-wide template createdBy: v.optional(v.id(""users"")), }","""by_category"", [""category""] | ""by_firm"", [""firmId""]",,yes,templates,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL; normalized children: template_variables
testimonials,convex/schema.ts:648,"{ clientName: v.string(), company: v.optional(v.string()), quote: v.string(), rating: v.optional(v.number()), isApproved: v.boolean(), avatarUrl: v.optional(v.string()), }","""by_approved"", [""isApproved""]",,no,testimonials,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL
timeEntries,convex/schema.ts:456,"{ caseId: v.id(""cases""), userId: v.id(""users""), description: v.string(), minutes: v.number(), isBillable: v.boolean(), date: v.string(), ratePerHour: v.number(), invoiceId: v.optional(v.id(""invoices"")), }","""by_case"", [""caseId""] | ""by_user"", [""userId""] | ""by_invoice"", [""invoiceId""]",,no,time_entries,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL
trustTransactions,convex/schema.ts:517,"{ clientId: v.id(""clients""), caseId: v.optional(v.id(""cases"")), type: v.union(v.literal(""receipt""), v.literal(""disbursement"")), amount: v.number(), description: v.string(), date: v.string(), balance: v.number(), approvedBy: v.id(""users""), }","""by_client"", [""clientId""] | ""by_case"", [""caseId""]",,no,trust_transactions,new UUID primary key; preserve Convex ID in unique legacy_convex_id during migration,migrate,implemented,Data owner role,Target firm_id is NOT NULL
